Disease,Microorganism,cases_1956,cases_1957,cases_1958,cases_1959,cases_1960,cases_1961,cases_1962,cases_1963,cases_1964,cases_1965,cases_1966,cases_1967,cases_1968,cases_1969,cases_1970,cases_1971,cases_1972,cases_1973,cases_1974,cases_1975,cases_1979,cases_1985,cases_1989,cases_1995,cases_1999,cases_2000,cases_2001,cases_2002,cases_2003,cases_2004,cases_2005,cases_2006,cases_2007,cases_2008,cases_2009,cases_2010,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019
"Poliomyelitis, paralytic ",virus,7911,2499,3697,6289,2525,988,762,396,106,61,113,41,53,20,33,21,31,8,7,8,26,7,5,2,,,,,,,1,,,,1,,,,1,,,,,,
"Poliovirus infection, nonparalytic ",virus,6555,2826,1941,2045,626,305,139,52,12,10,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
Psittacosis ,bacterium,568,278,158,147,113,102,79,76,53,60,50,41,43,57,35,32,52,33,164,49,137,119,116,64,16,17,25,18,12,12,16,21,12,8,9,4,2,2,6,8,4,12,5,22,4
"Q fever, Total ",bacterium,,,,,,,,,,,,,,,,,,,,,,,,,,21,26,61,71,70,136,169,171,120,113,131,134,135,170,168,156,164,193,215,212
"Rabies, Animal ",virus,5681,4542,4787,4177,3567,2599,3732,3929,4780,4574,4178,4481,3591,3490,3224,4310,4369,3640,3151,2625,,,,7811,6730,6934,7150,7609,6846,6345,5915,5534,5862,4196,5343,4331,4357,4541,4248,5988,5491,4609,4423,4984,4645
"Rabies, Human ",virus,10,5,5,7,2,3,2,1,1,2,1,2,1,1,2,2,2,1,,2,4,1,1,5,,4,1,3,2,7,2,3,1,2,4,2,6,1,2,1,2,,2,3,
Rheumatic fever,bacterium,6562,6427,6889,8285,9022,10470,7977,7561,7491,4998,4472,3985,3470,3229,3227,2793,2614,2560,2431,2854,629,90,144,,,,,,,,,,,,,,,,,,,,,,
Rubella ,virus,,,,,,,,,,,46975,46888,49371,57686,56552,45086,25507,27804,11917,16652,11795,630,396,128,267,176,23,18,7,10,11,11,12,16,3,5,4,9,9,6,5,1,7,4,6
"Rubella, congenital syndrome ",virus,,,,,,,,,,,11,10,14,31,77,68,42,35,45,30,62,,3,6,9,9,2,1,1,,1,1,,,2,,,3,1,1,1,2,5,,1
Salmonellosis (excluding S. Typhi infection and S. Paratyphi infection),bacterium,6704,6693,6363,6606,6929,8542,9680,15390,17144,17161,16841,18120,16514,18419,22096,21928,22151,23818,21980,22612,33138,65347,47812,45970,40596,39574,40495,44264,43657,42197,45322,45808,47995,51040,49192,54424,51887,53800,50634,51455,55108,53850,54285,60999,58371
